B039  PB EH1,EH2,EHZ -- IRIS  41.4667 -122.4847 2007-10-15 3000-01-01
GCK   NC EHZ         -- NCEDC 39.5438 -122.4367 2000-06-06 3000-01-01
GFC   NC EHZ         -- NCEDC 39.3266 -122.2889 2001-04-03 3000-01-01
GHL   NC EHZ         -- NCEDC 39.0406 -123.0194 1987-05-01 3000-01-01
GSN   NC EHZ         01 NCEDC 38.9404 -123.1925 2019-03-28 3000-01-01
GWR   NC EHZ         -- NCEDC 39.2057 -123.3010 2012-11-27 2017-05-25
KCPB  NC HHE,HHN,HHZ -- NCEDC 39.6863 -123.5824 2016-04-28 3000-01-01
KHBB  NC HHE,HHN,HHZ -- NCEDC 40.6599 -123.2197 2016-04-28 3000-01-01
KRMB  NC HHE,HHN,HHZ -- NCEDC 41.5230 -123.9080 2016-08-25 3000-01-01
KSXB  NC HHE,HHN,HHZ -- NCEDC 41.8304 -123.8769 2017-05-03 3000-01-01
HOPS  BK BHE,BHN,BHZ 00 NCEDC 38.9935 -123.0723 2010-06-16 3000-01-01
WDC   BK BHE,BHN,BHZ 00 NCEDC 40.5799 -122.5411 2011-05-06 3000-01-01
YBH   BK BHE,BHN,BHZ 00 NCEDC 41.7320 -122.7104 2013-03-13 3000-01-01
